title,url,first_author,authors,year,publisher,cited_by,query
Segmentation of multiple sclerosis lesions in brain MRI: a review of automated approaches,https://www.sciencedirect.com/science/article/pii/S0020025511005548,X Lladó,"X Lladó, A Oliver, M Cabezas, J Freixenet…",2012,Elsevier,293,multiple sclerosis segmentation
Segmentation of multiple sclerosis lesions in MR images: a review,https://link.springer.com/article/10.1007/s00234-011-0886-7,D Mortazavi,"D Mortazavi, AZ Kouzani, H Soltanian ,Zadeh",2012,Springer,179,multiple sclerosis segmentation
Automated segmentation of multiple sclerosis lesions by model outlier detection,https://ieeexplore.ieee.org/abstract/document/938237/,K Van Leemput,"K Van Leemput, F Maes…",2001,ieeexplore.ieee.org,646,multiple sclerosis segmentation
Simultaneous lesion and brain segmentation in multiple sclerosis using deep neural networks,https://www.nature.com/articles/s41598-020-79925-4,R McKinley,"R McKinley, R Wepfer, F Aschwanden, L Grunder…",2021,nature.com,44,multiple sclerosis segmentation
Retinal layer segmentation in multiple sclerosis: a systematic review and meta-analysis,https://www.thelancet.com/journals/laneur/article/PIIS1474-4422(17)30278-8/fulltext,A Petzold,"A Petzold, LJ Balcer, PA Calabresi, F Costello…",2017,thelancet.com,458,multiple sclerosis segmentation
Segmentation of multiple sclerosis lesions in intensity corrected multispectral MRI,https://ieeexplore.ieee.org/abstract/document/491417/,B Johnston,"B Johnston, MS Atkins, B Mackiewich…",1996,ieeexplore.ieee.org,388,multiple sclerosis segmentation
Longitudinal multiple sclerosis lesion segmentation: resource and challenge,https://www.sciencedirect.com/science/article/pii/S1053811916307819,A Carass,"A Carass, S Roy, A Jog, JL Cuzzocreo, E Magrath…",2017,Elsevier,296,multiple sclerosis segmentation
Review of advanced computational approaches on multiple sclerosis segmentation and classification,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-spr.2019.0543,M Shanmuganathan,"M Shanmuganathan, S Almutairi…",2020,Wiley Online Library,42,multiple sclerosis segmentation
A toolbox for multiple sclerosis lesion segmentation,https://link.springer.com/article/10.1007/s00234-015-1552-2,E Roura,"E Roura, A Oliver, M Cabezas, S Valverde, D Pareto…",2015,Springer,105,multiple sclerosis segmentation
Automatic segmentation and classification of multiple sclerosis in multichannel MRI,https://ieeexplore.ieee.org/abstract/document/5238795/,A Akselrod ,"A Akselrod ,Ballin, M Galun, JM Gomori…",2009,ieeexplore.ieee.org,103,multiple sclerosis segmentation
Improving automated multiple sclerosis lesion segmentation with a cascaded 3D convolutional neural network approach,https://www.sciencedirect.com/science/article/pii/S1053811917303270,S Valverde,"S Valverde, M Cabezas, E Roura, S González ,Villà…",2017,Elsevier,359,multiple sclerosis segmentation
Automated segmentation of multiple sclerosis lesion subtypes with multichannel MRI,https://www.sciencedirect.com/science/article/pii/S1053811906004939,Y Wu,"Y Wu, SK Warfield, IL Tan, WM Wells III, DS Meier…",2006,Elsevier,175,multiple sclerosis segmentation
Multi-branch convolutional neural network for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S105381191930268X,S Aslani,"S Aslani, M Dayan, L Storelli, M Filippi, V Murino…",2019,Elsevier,145,multiple sclerosis segmentation
Multiple sclerosis lesions segmentation from multiple experts: The MICCAI 2016 challenge dataset,https://www.sciencedirect.com/science/article/pii/S1053811921008624,O Commowick,"O Commowick, M Kain, R Casey, R Ameli, JC Ferré…",2021,Elsevier,29,multiple sclerosis segmentation
Exploring uncertainty measures in deep networks for multiple sclerosis lesion detection and segmentation,https://www.sciencedirect.com/science/article/pii/S1361841519300994,T Nair,"T Nair, D Precup, DL Arnold, T Arbel",2020,Elsevier,414,multiple sclerosis segmentation
Review of automatic segmentation methods of multiple sclerosis white matter lesions on conventional magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S1361841512001338,D García ,"D García ,Lorenzo, S Francis, S Narayanan…",2013,Elsevier,437,multiple sclerosis segmentation
A topology-preserving approach to the segmentation of brain images with multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S1053811909009823,N Shiee,"N Shiee, PL Bazin, A Ozturk, DS Reich, PA Calabresi…",2010,Elsevier,375,multiple sclerosis segmentation
Unified approach for multiple sclerosis lesion segmentation on brain MRI,https://link.springer.com/article/10.1007/s10439-005-9009-0,BR Sajja,"BR Sajja, S Datta, R He, M Mehta, RK Gupta…",2006,Springer,150,multiple sclerosis segmentation
Longitudinal multiple sclerosis lesion segmentation using multi-view convolutional neural networks,https://link.springer.com/chapter/10.1007/978-3-319-46976-8_7,A Birenbaum,"A Birenbaum, H Greenspan",2016,Springer,81,multiple sclerosis segmentation
Multi-view longitudinal CNN for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S0952197617301252,A Birenbaum,"A Birenbaum, H Greenspan",2017,Elsevier,78,multiple sclerosis segmentation
An integrated segmentation and classification approach applied to multiple sclerosis analysis,https://ieeexplore.ieee.org/abstract/document/1640876/,A Akselrod ,"A Akselrod ,Ballin, M Galun, R Basri…",2006,ieeexplore.ieee.org,49,multiple sclerosis segmentation
Brain and lesion segmentation in multiple sclerosis using fully convolutional neural networks: A large-scale study,https://journals.sagepub.com/doi/abs/10.1177/1352458519856843,RE Gabr,"RE Gabr, I Coronado, M Robinson…",2020,journals.sagepub.com,72,multiple sclerosis segmentation
Automatic segmentation and volumetry of multiple sclerosis brain lesions from MR images,https://www.sciencedirect.com/science/article/pii/S2213158215000959,S Jain,"S Jain, DM Sima, A Ribbens, M Cambron…",2015,Elsevier,251,multiple sclerosis segmentation
Survey of automated multiple sclerosis lesion segmentation techniques on magnetic resonance imaging,https://www.sciencedirect.com/science/article/pii/S0895611118303227,A Danelakis,"A Danelakis, T Theoharis, DA Verganelakis",2018,Elsevier,99,multiple sclerosis segmentation
Review of deep learning approaches for the segmentation of multiple sclerosis lesions on brain MRI,https://www.frontiersin.org/articles/10.3389/fninf.2020.610967/full,C Zeng,"C Zeng, L Gu, Z Liu, S Zhao",2020,frontiersin.org,60,multiple sclerosis segmentation
Deep learning segmentation of gadolinium-enhancing lesions in multiple sclerosis,https://journals.sagepub.com/doi/abs/10.1177/1352458520921364,I Coronado,"I Coronado, RE Gabr…",2021,journals.sagepub.com,26,multiple sclerosis segmentation
An automatic segmentation of T2-FLAIR multiple sclerosis lesions,https://inria.hal.science/inria-00616119/document,JC Souplet,"JC Souplet, C Lebrun, N Ayache… , …",2008,inria.hal.science,127,multiple sclerosis segmentation
